iter	Passed	Remaining
0	1	125
1	2	114
2	3	111
3	4	105
4	5	102
5	6	101
6	7	100
7	8	99
8	9	99
9	10	98
10	12	97
11	13	97
12	14	99
13	16	103
14	18	102
15	19	101
16	20	99
17	21	99
18	22	97
19	23	95
20	25	94
21	26	92
22	27	91
23	28	90
24	29	89
25	31	88
26	32	87
27	33	86
28	34	85
29	35	83
30	37	82
31	38	81
32	39	79
33	40	78
34	41	76
35	42	75
36	44	75
37	45	73
38	46	72
39	47	71
40	48	69
41	49	67
42	50	66
43	51	65
44	52	63
45	53	62
46	54	61
47	55	59
48	56	58
49	57	57
50	58	55
51	59	54
52	60	53
53	60	51
54	61	50
55	62	49
56	63	47
57	64	46
58	65	45
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	82	22
79	83	20
80	84	19
81	85	18
82	86	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	90	11
89	91	10
90	92	9
91	93	8
92	93	7
93	94	6
94	95	5
95	95	3
96	96	2
97	97	1
98	98	0
99	98	0
